human	PR10Xmono1cell1	1706473	1067727	8768	65810	564168	17545	1475	16070	23	2615	6.6333
human	PR10Xmono1cell2	1853683	1146594	16720	63836	626533	19899	1395	18504	20	2764	6.9666
human	PR10Xmono1cell3	977171	613094	9762	38564	315751	11797	968	10829	19	2256	5.1333
human	PR10Xmono1cell4	941501	672581	6331	14518	248071	8763	515	8248	17	1818	5.2500
human	PR10Xmono1cell5	983555	468155	8300	44381	462719	15032	1101	13931	18	2343	5.1000
human	PR10Xmono1cell6	2392125	1396673	18317	60855	916280	26412	1452	24960	26	3132	7.9833
human	PR10Xmono1cell7	2940541	1727557	20074	82796	1110114	32243	1774	30469	27	3735	9.3500
human	PR10Xmono1cell8	1192367	698170	9041	46283	438873	15381	1075	14306	25	2451	5.5666
human	PR10Xmono1cell9	1419466	735348	13329	51011	619778	20280	1209	19071	20	2737	6.0666
human	PR10Xmono1cell10	834971	528102	9536	33967	263366	10532	920	9612	17	1972	4.9166
human	PR10Xmono1cell11	2249877	1321146	20166	35362	873203	35797	970	34827	20	4681	7.6833
human	PR10Xmono1cell12	755245	536570	6959	15717	195999	8086	476	7610	18	1791	4.7500
human	PR10Xmono1cell13	1175391	707032	10906	36621	420832	15049	933	14116	20	2412	5.5666
human	PR10Xmono1cell14	606764	307166	2868	43487	253243	11351	1203	10148	21	2093	4.4666
human	PR10Xmono1cell15	2325484	1291345	14109	71951	948079	30156	1729	28427	24	3505	7.7833
human	PR10Xmono1cell16	1560734	978403	9406	34813	538112	20384	1035	19349	21	2857	6.3666
human	PR10Xmono1cell17	1034485	622825	5376	49264	357020	13254	1262	11992	21	2227	5.3500
human	PR10Xmono1cell18	1574692	953864	10584	48205	562039	18153	1194	16959	19	2859	6.3333
human	PR10Xmono1cell19	1094234	702128	6077	47359	338670	14346	1209	13137	23	2803	5.3500
human	PR10Xmono1cell20	965929	650662	5333	23847	286087	11528	750	10778	21	2416	5.1500
human	PR10Xmono1cell21	2025441	1262766	12124	69209	681342	22152	1598	20554	25	3229	7.2500
human	PR10Xmono1cell22	1649415	1012872	6776	55088	574679	20732	1555	19177	23	3088	6.5166
human	PR10Xmono1cell23	2039211	1219981	5390	60205	753635	25650	1702	23948	22	3459	7.2500
human	PR10Xmono1cell24	1705075	1079164	14162	41671	570078	22094	1163	20931	23	3478	6.6000
human	PR10Xmono1cell25	997495	545532	9102	65637	377224	14245	1623	12622	20	2374	5.2833
human	PR10Xmono1cell26	70145	11599	147	48664	9735	3243	1189	2054	20	926	3.3666
human	PR10Xmono1cell27	702932	447171	1772	35839	218150	10337	966	9371	15	2080	4.6500
human	PR10Xmono1cell28	812130	542105	6505	29038	234482	8715	684	8031	16	1877	4.8666
human	PR10Xmono1cell29	1177135	689597	8516	44392	434630	15712	1199	14513	18	2439	5.7166
human	PR10Xmono1cell30	2232691	1428136	10311	82430	711814	23850	1930	21920	20	3072	7.6666
human	PR10Xmono1cell31	2819994	1675550	17738	74951	1051755	30368	1654	28714	23	3504	8.8333
human	PR10Xmono1cell32	1269284	603459	12926	27160	625739	24342	824	23518	22	3547	5.6166
human	PR10Xmono1cell33	94822	48705	330	20226	25561	3621	952	2669	22	1112	3.4833
human	PR10Xmono1cell34	322857	139842	3351	34997	144667	8788	1190	7598	18	1600	3.8666
human	PR10Xmono1cell35	709610	418844	1996	28090	260680	12405	1082	11323	22	1996	4.6000
human	PR10Xmono1cell36	491142	340978	2781	21724	125659	7291	793	6498	18	1546	4.1666
human	PR10Xmono1cell37	1612763	967701	6700	41389	596973	24912	1516	23396	23	2671	6.4166
human	PR10Xmono1cell38	342650	179099	1444	39360	122747	9358	1494	7864	25	1813	3.9000
human	PR10Xmono1cell39	2002028	1177934	24012	74003	726079	30440	2237	28203	21	3168	7.2000
human	PR10Xmono1cell40	1247274	797001	8848	28685	412740	18824	1094	17730	26	2609	5.7000
human	PR10Xmono1cell41	288324	97524	3560	42576	144664	16523	2865	13658	23	1990	3.8166
human	PR10Xmono1cell42	958226	469736	12291	68011	408188	37987	4509	33478	24	2495	5.3000
human	PR10Xmono1cell43	289627	142930	945	31718	114034	12980	2252	10728	18	1708	3.8333
human	PR10Xmono1cell44	1076098	710782	6380	21744	337192	25257	1552	23705	19	2572	5.6666
human	PR10Xmono1cell45	572389	193473	10430	58759	309727	29671	4044	25627	19	2395	4.5333
human	PR10Xmono1cell46	1356611	724342	7936	88533	535800	42322	5094	37228	25	2999	6.2500
human	PR10Xmono1cell47	2127782	1351519	11750	78796	685717	52600	4732	47868	23	3603	7.9166
human	PR10Xmono1cell48	1983861	1307069	11457	55988	609347	49239	3512	45727	25	3404	7.8333
human	PR10Xmono1cell49	331213	190770	1996	13507	124940	9348	719	8629	20	2154	3.9333
human	PR10Xmono1cell50	846799	338676	8305	42652	457166	21863	1450	20413	19	2753	5.0000
human	PR10Xmono1cell51	645653	334037	8600	17913	285103	15755	724	15031	15	2743	4.5000
