cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
HJC_D-C1_01	4152	18754	.	0.0797696491415165	HJC_D-C1	HJC_D	1	1	1-4	9	9	20.5771340100883	-16.7187237727566	0.961994243478654	1004177	0.8573	0.0795787009947338	0.072257718997626	1	FALSE	TRUE	Endo
HJC_D-C1_03	4621	31143	.	0.0265228141155316	HJC_D-C1	HJC_D	1	3	1-4	1	1	-14.5326648417219	-4.78133692959845	0.974250222342643	1768693	0.8746	0.0263982102908277	0.0360237487173793	1	FALSE	TRUE	Fibro-ADAMDEC1
HJC_D-C1_04	5125	31518	.	0.0318548131226601	HJC_D-C1	HJC_D	1	4	1-4	0	0	2.1551161737477	-7.02995518872902	0.968690220549923	1756570	0.8741	0.0317671254548331	0.0483270524745058	1	FALSE	TRUE	Fibro-VCAN
HJC_D-C1_05	5020	36094	.	0.0332465229678063	HJC_D-C1	HJC_D	1	5	5-8	0	0	10.4020743693655	-7.73358996375297	0.982975526588112	2823173	0.8543	0.0330879311771032	0.038305557329338	1	FALSE	TRUE	Fibro-VCAN
HJC_D-C1_06	4345	24153	.	0.0566389268413862	HJC_D-C1	HJC_D	1	6	5-8	4	4	5.99043759494826	28.5830530890078	0.958645811129421	1976719	0.8653	0.0564216778025241	0.0577259958933233	1	FALSE	TRUE	T
HJC_D-C1_07	4224	28714	.	0.046667131016229	HJC_D-C1	HJC_D	1	7	5-8	2	2	10.7523777719721	1.2736418599508	0.972847502739553	1762370	0.8598	0.0465908695803345	0.0686215458451016	1	FALSE	TRUE	Fibro-DPT
HJC_D-C1_09	1364	12825	.	0.0498245614035088	HJC_D-C1	HJC_D	2	1	1-4	3	13	-4.82242198232032	16.5369745454197	0.916721492362332	747642	0.8238	0.0495080189044704	0.0787853772986469	1	FALSE	TRUE	Erythrocyte
HJC_D-C1_10	5575	55659	.	0.0412511902836918	HJC_D-C1	HJC_D	2	2	1-4	2	2	16.2040114599151	5.12271276164383	0.942868240754647	2348234	0.8661	0.0411329475626579	0.0492308635009306	1	FALSE	TRUE	Fibro-DPT
HJC_D-C1_11	4190	17900	.	0.0402793296089385	HJC_D-C1	HJC_D	2	3	1-4	6	6	5.59078719940347	-19.556894880049	0.955575873982118	864400	0.8799	0.0402052082752468	0.0603946242745477	1	FALSE	TRUE	SM-Vascular
HJC_D-C1_12	4480	22666	.	0.047604341304156	HJC_D-C1	HJC_D	2	4	1-4	5	5	-16.406229824866	-17.5298414405897	0.965193888990387	1515573	0.8704	0.047401484865791	0.0508389280215641	1	FALSE	TRUE	Fibro-BMP5
HJC_D-C1_13	3347	7651	.	0.0924062214089661	HJC_D-C1	HJC_D	2	5	5-8	3	3	-4.57382206675044	4.10789304157866	0.958549686340327	893422	0.8256	0.0908390080945651	0.0200747975520801	1	FALSE	TRUE	CACNA1A
HJC_D-C1_16	3955	26590	.	0.0732982324182023	HJC_D-C1	HJC_D	2	8	5-8	1	1	-16.088792123288	-2.84339248815949	0.975617802502059	2133691	0.8539	0.072936157473243	0.0682085731689789	1	FALSE	TRUE	Fibro-ADAMDEC1
HJC_D-C1_19	4252	23603	.	0.0414777782485277	HJC_D-C1	HJC_D	3	3	1-4	2	2	11.2021320431201	-0.000326972348517786	0.957575842891871	1212273	0.8814	0.0413900985075889	0.0538293450392355	1	FALSE	TRUE	Fibro-DPT
HJC_D-C1_22	5079	38142	.	0.0295736982853547	HJC_D-C1	HJC_D	3	6	5-8	2	2	11.6991897914491	3.35341205966044	0.935966375270247	1956586	0.8546	0.0294817176759625	0.0452557561872983	1	FALSE	TRUE	Fibro-DPT
HJC_D-C1_23	4198	20133	.	0.0399841056971142	HJC_D-C1	HJC_D	3	7	5-8	0	0	7.51396561677148	-11.22848212874	0.947695887218618	1712270	0.8473	0.0398692486751523	0.0476806168439922	1	FALSE	TRUE	Fibro-VCAN
HJC_D-C1_24	5004	30934	.	0.0522402534428137	HJC_D-C1	HJC_D	3	8	5-8	2	2	15.2820725533441	0.90418675933168	0.974357735502488	2641001	0.8609	0.0521122218639149	0.0457978353025571	1	FALSE	TRUE	Fibro-DPT
HJC_D-C1_26	4166	20749	.	0.0669911802978457	HJC_D-C1	HJC_D	4	2	1-4	4	4	4.98831432662301	27.6045634886781	0.943461508645135	1545427	0.8774	0.0666506832893791	0.0487537947494033	1	FALSE	TRUE	T
