cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
XCZ_C-B1_01	4159	13128	.	0.0411334552102377	XCZ_C-B1	XCZ_C	1	1	1-4	1	1	-3.60554600728713	-1.62703153910441	0.974597236353384	3020565	0.8841	0.0410303168452245	0.0377526294581612	1	FALSE	TRUE	SM-Viscera
XCZ_C-B1_02	4182	18210	.	0.042998352553542	XCZ_C-B1	XCZ_C	1	2	1-4	1	1	-5.0100793515959	0.652115211115901	0.986759426399395	1911151	0.8873	0.0429959914337488	0.0691322329464184	1	FALSE	TRUE	SM-Viscera
XCZ_C-B1_03	5654	42035	.	0.0399904841203759	XCZ_C-B1	XCZ_C	1	3	1-4	9	9	15.4043676544425	-15.1002039668747	0.993710482181776	3267843	0.8924	0.0399771694927347	0.0393740868985034	1	FALSE	TRUE	Fibro-Prol
XCZ_C-B1_05	4372	20577	.	0.0514652281673713	XCZ_C-B1	XCZ_C	1	5	5-8	3	3	-35.9896237233411	-20.3613645005064	0.983578761848491	2609632	0.9029	0.0514577259475219	0.0684997600708929	1	FALSE	TRUE	T
XCZ_C-B1_06	3593	12283	.	0.122852723276073	XCZ_C-B1	XCZ_C	1	6	5-8	12	12	43.6126034244831	-3.30117582441091	0.980716554136585	1684997	0.8975	0.122792741476117	0.0650133172110655	1	FALSE	TRUE	Glial
XCZ_C-B1_07	2986	9923	.	0.075279653330646	XCZ_C-B1	XCZ_C	1	7	5-8	14	14	9.99884305498158	-7.11718769325393	0.965911291466269	1518844	0.8917	0.0752569010679025	0.123728858845219	1	FALSE	TRUE	Fibro-VCAM1
XCZ_C-B1_08	3343	14348	.	0.076456649010315	XCZ_C-B1	XCZ_C	1	8	5-8	3	3	-35.5640284070571	-18.1633616897773	0.98407576939986	2165195	0.9008	0.0764459930313589	0.0776661445110643	1	FALSE	TRUE	T
XCZ_C-B1_09	4495	26958	.	0.0221084650196602	XCZ_C-B1	XCZ_C	2	1	1-4	0	0	-4.57419055073356	22.7143452365575	0.989911105472709	2585799	0.8946	0.0221027257556091	0.0811451913429841	1	FALSE	TRUE	Fibro-COL14A1
XCZ_C-B1_10	4611	23637	.	0.036256716165334	XCZ_C-B1	XCZ_C	2	2	1-4	0	0	2.55132345399374	5.50028116582646	0.987211007657474	2150441	0.8939	0.0362521150592217	0.0642501298674567	1	FALSE	TRUE	Fibro-COL14A1
XCZ_C-B1_11	3591	14639	.	0.0546485415670469	XCZ_C-B1	XCZ_C	2	3	1-4	2	2	4.55428714799312	-28.8564264996432	0.986882832443722	1523127	0.8778	0.0546336133306017	0.0941358299527741	1	FALSE	TRUE	Fibro-COL6A5
