orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
PZ_1_1-1	PZ	208640	66580	79950.4773702729	18476	atac	Erythrocyte-Prol	0.541455803253043	-10.4121874861082	-1.98771420511871	0.85263646004439	-0.441503908758448	-0.145122059615004	0.380519591238892
PZ_1_1-2	PZ	232426	70673	85033.7933325499	18755	atac	B-CD83	0.486944662217903	-5.17236329720799	5.89376541212296	1.56980724156133	-0.533832675114629	-0.145122059615004	-0.521513174053148
PZ_1_1-3	PZ	163463	51277	62347.5877465292	17470	atac	NKT	0.920887285789903	-10.2229161291194	-7.05297251305968	3.01672726939409	-0.0437846553921438	-0.145122059615004	0.617067134517888
PZ_1_1-4	PZ	273230	72189	87412.2554916261	18720	atac	T-TNFAIP3	0.616671468217555	7.14540406044945	2.29326282875815	0.291358797811485	0.268755393083217	-0.145122059615004	-0.521513174053148
PZ_1_1-5	PZ	186442	56185	69040.5921395466	17567	atac	B-HLA-DRB5	0.5504003519434	0.110332804877749	7.01026742422603	-0.735830823736969	-0.361320112482913	5.53944810914038	0.513813702215714
PZ_1_1-6	PZ	214265	64765	78984.9439840556	18295	atac	B-CD83	0.517734285157186	-2.57842846193256	6.00060659751866	1.30689316502717	-0.500977995468676	-0.145122059615004	-0.521513174053148
PZ_1_1-7	PZ	178625	53646	65730.7560247178	17474	atac	NKT	0.921289013108267	-10.2818073154101	-6.90418556250265	0.588519194720976	0.166655065366082	-0.145122059615004	0.562420144693584
PZ_1_1-8	PZ	120680	44065	53499.2838556255	16733	atac	MPP	0.575148022656522	-10.290597102544	-1.78683817913509	0.847574994859386	-0.776794688342667	-0.145122059615004	0.790071241628608
PZ_1_2-1	PZ	184391	55910	67915.9829344989	17772	atac	B-CD83	0.629624629471841	-1.52405785585021	6.28719087974537	-0.0510351777901757	-0.429001714409166	-0.145122059615004	2.27859731299991
PZ_1_2-2	PZ	181648	57436	70735.5943699559	17913	atac	B-HLA-DRB5	0.410905694592483	-1.79315388294825	6.71139658154565	1.49861597429654	-0.375287458346071	-0.145122059615004	0.490574184253041
PZ_1_2-3	PZ	147375	47871	58904.3666434773	16991	atac	B-CD83	0.889233960092018	-1.1146440270389	7.91661952991259	2.32798262745478	-0.98895944987802	-0.145122059615004	0.678660033901429
PZ_1_2-5	PZ	132555	43807	54191.3425782685	16510	atac	B-HLA-DRB5	0.615058585520106	-0.551299398314503	5.03515453831003	-0.735830823736969	-0.204900419653654	-0.145122059615004	1.88279527859971
PZ_1_2-6	PZ	216826	68074	82404.9577454611	18532	atac	DC/Macro	0.85268501032286	15.7977312298603	1.76950374108628	-0.735830823736969	0.848102269726756	4.66819379328087	-0.521513174053148
PZ_1_2-7	PZ	146687	49699	60078.8753484365	17275	atac	B-CD83	0.593706769105448	-3.03182887331684	9.12316873438968	0.696748174025177	-0.358717158527407	-0.145122059615004	-0.521513174053148
PZ_1_2-8	PZ	147920	50777	61090.3314916038	17381	atac	MPP	0.724584107255348	-10.5468041262075	-1.1954473168609	0.67609020061722	-0.286285212874532	-0.145122059615004	0.638808968489611
PZ_1_3-1	PZ	168187	55470	66827.8550662004	17665	atac	B-CD83	0.436674622206512	-4.37534200560055	5.88272513670808	-0.0406277334223806	-0.149933019218021	-0.145122059615004	-0.521513174053148
PZ_1_3-2	PZ	171859	56031	67506.2341519353	18029	atac	MPP	0.974796455920439	-11.3072540525009	0.307173327301545	1.0972894772997	1.31477458825754	-0.145122059615004	-0.521513174053148
PZ_1_3-3	PZ	138039	50066	60252.5363434171	17337	atac	MPP	0.705827480799695	-10.0910820214462	2.06369947568761	0.693158153162046	0.305484558113337	-0.145122059615004	0.65376490015865
PZ_1_3-4	PZ	210334	61339	74412.3746165715	17883	atac	NKT	0.959216812853379	-7.39842006578665	-12.3968507702865	1.82657162683296	0.150026559668333	-0.145122059615004	0.443587401872791
PZ_1_3-5	PZ	95593	36996	44947.6728727217	15739	atac	MPP	0.472751217973367	-7.9790223188521	-1.15749959517012	0.265651743434806	-0.98895944987802	-0.145122059615004	2.29577682115215
PZ_1_3-6	PZ	152984	51903	61819.5871888683	17422	atac	DC/Macro	0.532088212289235	-6.81340831636875	3.25680829597828	0.0116677969707337	-0.98895944987802	-0.145122059615004	0.626097677832581
PZ_1_3-7	PZ	165422	54507	66049.5243245743	17506	atac	DC/Macro	0.958271547934797	17.096084243624	2.06016457972713	1.62477170326577	0.987891905585655	-0.145122059615004	-0.521513174053148
PZ_1_3-8	PZ	167216	51149	60859.0503843898	17274	atac	Erythrocyte	0.760551981580211	3.15114410164766	-6.59075264639664	2.25391991946866	0.246466871259542	-0.145122059615004	0.642899448494938
