cluster	gene	size	boundary	avgExpr	cvExpr	avgCor	cvCor	protein_coding	lncRNA	sncRNA	pseudogene	Ig/TcR	tf
M143	RPS15AP10	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	RP1-91J24.1	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	BMPR2	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	OGFOD1	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	MTERF1	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	LPCAT2	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	ARID3A	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	PAICS	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	MYBPHL	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	ZNF85	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	ATP9B	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	SLC1A2	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	RPH3AL	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	HELLPAR	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
M143	NFXL1	28	1:28	51.2018054644101	3.01401631237431	0.120233329350904	1.01878699558539	0.857142857142857	0.0714285714285714	0	0.0714285714285714	0	0.142857142857143
