human	PD10Mono1cell1	19770446	14050271	13374008	71.07%	0.7107	67.65%	single	19.2333
human	PD10Mono1cell2	2346301	1952056	1901009	83.20%	0.8320	81.02%	single	2.6833
human	PD10Mono1cell3	2167015	1827912	1779929	84.35%	0.8435	82.14%	single	2.6666
human	PD10Mono1cell4	1894570	1511101	1452313	79.76%	0.7976	76.66%	single	2.3666
human	PD10Mono1cell5	1895673	1618645	1570041	85.39%	0.8539	82.82%	single	2.4166
human	PD10Mono1cell6	3159227	2655816	2561819	84.07%	0.8407	81.09%	single	3.7166
human	PD10Mono1cell7	4797524	4233697	4114636	88.25%	0.8825	85.77%	single	5.2833
human	PD10Mono1cell8	483085	381269	380408	78.92%	0.7892	78.75%	single	0.4000
human	PD10Mono1cell9	3213930	2775197	2701952	86.35%	0.8635	84.07%	single	3.4333
human	PD10Mono1cell10	2193376	1802485	1755153	82.18%	0.8218	80.02%	single	2.4166
human	PD10Mono1cell11	1391110	1164008	1132583	83.67%	0.8367	81.42%	single	1.6166
human	PD10Mono1cell12	691660	542182	526957	78.39%	0.7839	76.19%	single	0.8166
human	PD10Mono1cell13	2756220	2419439	2356306	87.78%	0.8778	85.49%	single	2.8166
human	PD10Mono1cell14	3654084	3124449	3028188	85.51%	0.8551	82.87%	single	4.0000
human	PD10Mono1cell15	4329920	3784604	3686253	87.41%	0.8741	85.13%	single	4.5000
human	PD10Mono1cell16	2544642	2237440	2179557	87.93%	0.8793	85.65%	single	2.8666
human	PD10Mono1cell17	2275271	1923756	1873894	84.55%	0.8455	82.36%	single	2.5166
human	PD10Mono1cell18	743004	594054	579225	79.95%	0.7995	77.96%	single	0.9000
human	PD10Mono1cell19	1758459	1458345	1422790	82.93%	0.8293	80.91%	single	1.9500
human	PD10Mono1cell20	1586679	1256308	1223316	79.18%	0.7918	77.10%	single	1.6833
human	PD10Mono1cell21	2118442	1830495	1768191	86.41%	0.8641	83.47%	single	2.4666
human	PD10Mono1cell22	979798	798540	777044	81.50%	0.8150	79.31%	single	1.1833
human	PD10Mono1cell23	2791498	2405026	2333762	86.16%	0.8616	83.60%	single	3.1333
human	PD10Mono1cell24	2776536	2445628	2379738	88.08%	0.8808	85.71%	single	2.8833
human	PD10Mono1cell25	3644318	3151198	3052064	86.47%	0.8647	83.75%	single	3.8833
human	PD10Mono1cell26	2921298	2480132	2407168	84.90%	0.8490	82.40%	single	3.4166
human	PD10Mono1cell27	1937147	1631506	1584205	84.22%	0.8422	81.78%	single	2.2333
human	PD10Mono1cell28	511799	378816	366269	74.02%	0.7402	71.57%	single	0.6666
